filename,st_name,speaker,age,gender,text,arg0,arg1,metaphor_score
IL2022.txt,Illinois,Pritzker_J.B.,57,0,We made pandemic-era telehealth access permanent.,pandemic,era,.54498041
IL2022.txt,Illinois,Pritzker_J.B.,57,0,So let me offer an update on the promise of fiscal responsibility I made to you three years ago.,fiscal,responsibility,.25971237
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Our state has led with equity, with the highest regional vaccination rates for our Black and Brown residents.",high,rate,.63413584
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Parents will sleep better at night, and it saves an additional $75 million dollars in future taxpayer liabilities.",future,liability,.56018883
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Government must continue to do everything possible to help people recover.,people,recover,.46542758
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Look, the actual work of managing Illinois' state finances is decidedly unglamorous.",manage,finance,.62135959
IL2022.txt,Illinois,Pritzker_J.B.,57,0,We're extending the Rebuild Downtowns and Main Streets program to revitalize community business districts across Illinois.,revitalize,district,.61721849
IL2022.txt,Illinois,Pritzker_J.B.,57,0,at a time when some would question the very foundations of science and medicine.,question,foundation,.57590204
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I didn't tell you I would be an optimist only if the challenges were easy.,tell,you,.52250695
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The higher cost of even basic necessities is making it harder to make ends meet.,cost,make,.64120877
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Abraham Lincoln, who once stood on this very spot under this dome, once said: ""We cannot escape history.",lincoln,say,.54386598
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"First, let's freeze the gas tax for the coming fiscal year.",fiscal,year,.51138633
IL2022.txt,Illinois,Pritzker_J.B.,57,0,That's why I reestablished the Division of Criminal Investigations when I first took office.,take,office,.3904638
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Government ought to do more to ease the pain and put more money back in the pockets of hardworking Illinoisans.,government,ought,.30214822
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"That's because we have three tools that we know work: masks, testing and vaccines.",that,know,.49029002
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"If we double the property tax deduction for Illinois homeowners, we can bring relief to nearly 2 million Illinois taxpayers.",double,deduction,.75104463
IL2022.txt,Illinois,Pritzker_J.B.,57,0,That's why this proposed budget creates the Pipeline for the Advancement of the Healthcare Workforce — or PATH — program.,budget,create,.58880925
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The pandemic recession has taken an enormous financial toll on workers and businesses.,take,toll,.4804844
IL2022.txt,Illinois,Pritzker_J.B.,57,0,We are the leader in vaccinating kids 5 to 17 years old.,old,kid,.36528552
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Thank you and God bless you.,god,bless,.65857083
IL2022.txt,Illinois,Pritzker_J.B.,57,0,It will bring immediate relief at the gas pump and still allow us to upgrade our infrastructure.,it,bring,.52917761
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"But when we are able, I think we ought to do more than just pay the minimum.",pay,minimum,.40208566
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Government ought to do more to ease the pain and put more money back in the pockets of hardworking Illinoisans.,more,money,.57537156
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The higher cost of even basic necessities is making it harder to make ends meet.,high,cost,.68825793
IL2022.txt,Illinois,Pritzker_J.B.,57,0,EDGE is one of our most effective tools to grow and attract jobs.,attract,job,.43088901
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"In years past, higher education had become an afterthought in our state budgets.",high,education,.6469506
IL2022.txt,Illinois,Pritzker_J.B.,57,0,My budget also proposes to invest new resources in nursing scholarships and loan forgiveness programs.,budget,propose,.38225639
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I know that — because Illinois reminds me every single day of her kindness and her hope.,illinois,remind,.67723989
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I wish it with all my heart.,wish,it,.58684534
IL2022.txt,Illinois,Pritzker_J.B.,57,0,This budget proposal advances our $250 million multi-year investment in crime prevention in the Reimagine Public Safety Act.,year,investment,.43724671
IL2022.txt,Illinois,Pritzker_J.B.,57,0,We now have the number one ranked infrastructure in the country.,number,rank,.5929274
IL2022.txt,Illinois,Pritzker_J.B.,57,0,That's why this proposed budget creates the Pipeline for the Advancement of the Healthcare Workforce — or PATH — program.,create,pipeline,.49313921
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Illinois job growth now outpaces the national job growth.,national,growth,.58175731
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"This is an example of how we're bringing operational improvements to state government to reduce waste, inefficiency, and liabilities.",reduce,waste,.53151691
IL2022.txt,Illinois,Pritzker_J.B.,57,0,So my budget proposes to pay off that unfunded state liability in full.,unfunded,liability,.3022055
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Therefore, today I am proposing the Illinois Family Relief Plan — to provide immediate assistance to help families fight inflation.",immediate,assistance,.3652674
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I made a promise that day.,make,promise,.64367813
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I didn't tell you that there was a limit to the hope I could find for this state.,tell,you,.52250695
IL2022.txt,Illinois,Pritzker_J.B.,57,0,My proposed budget continues to increase the number of Illinois State Police forensic scientists and evidence technicians.,proposed,budget,.26924711
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Aggressively protecting and supporting vulnerable children and families is a high priority for us all.,high,priority,.67443532
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Our entire state sees you.,see,you,.44675019
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The state had doled out over $1.2 billion in late payment penalties.,late,payment,.63942349
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The COVID-19 pandemic has presented us with a challenge the likes of which we have not seen in generations.,pandemic,present,.47827151
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"This is an example of how we're bringing operational improvements to state government to reduce waste, inefficiency, and liabilities.",bring,improvement,.65005648
IL2022.txt,Illinois,Pritzker_J.B.,57,0,And we made it harder for insurance companies to discriminate against those seeking fertility treatments.,company,discriminate,.55498528
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I'm proud to say this proposed fiscal year 2023 budget plan does just that.,fiscal,year,.51138633
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"With the state and the nation experiencing a rise in violent crime, addressing public safety requires major investments.",experience,rise,.65503794
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Therefore, today I am proposing the Illinois Family Relief Plan — to provide immediate assistance to help families fight inflation.",fight,inflation,.83199757
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Parents will sleep better at night, and it saves an additional $75 million dollars in future taxpayer liabilities.",additional,dollar,.42455685
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"But when we are able, I think we ought to do more than just pay the minimum.",do,more,.47821423
IL2022.txt,Illinois,Pritzker_J.B.,57,0,We made pandemic-era telehealth access permanent.,access,permanent,.39298055
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Back in 2019, working with the General Assembly, we passed a historic bipartisan infrastructure improvement plan.",bipartisan,plan,.64110482
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Our schools have remained safe and open.,school,remain,.5002299
IL2022.txt,Illinois,Pritzker_J.B.,57,0,So my budget proposes to pay off that unfunded state liability in full.,budget,propose,.38225639
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I'm proposing that we set aside $600 million for the fund this year plus another $279 million next year.,set,million,.51749855
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Let's start with this: If we want to reduce crime, we have to solve crimes.",reduce,crime,.66513777
IL2022.txt,Illinois,Pritzker_J.B.,57,0,A larger percentage of Illinoisans have been vaccinated than in any other Midwestern state.,large,percentage,.50059611
IL2022.txt,Illinois,Pritzker_J.B.,57,0,One thing we can all do right now is continue rising to the challenge of combatting the pandemic head on.,thing,rise,.59670091
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"A prohibition on COVID-related evictions, utility shutoffs, and vehicle repossessions protected those suffering pandemic-related hardships.",prohibition,protect,.74955362
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Building on that progress, today I'm proposing an expansion of Illinois' Alzheimer's outreach, research, care and support.",propose,expansion,.54237056
IL2022.txt,Illinois,Pritzker_J.B.,57,0,And as Governor I can offer you my most deep and heartfelt thanks on behalf of a grateful state.,offer,thank,.34887174
IL2022.txt,Illinois,Pritzker_J.B.,57,0,And as Governor I can offer you my most deep and heartfelt thanks on behalf of a grateful state.,offer,deep,.74870151
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Our budget success gives us the opportunity to do just that.,success,give,.58051151
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The 2023 budget continues providing direct grants for thousands more small businesses supporting their recovery.,budget,continue,.60100353
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Our investments in working families and small businesses are paying off.,small,business,.58363891
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The 2023 budget continues providing direct grants for thousands more small businesses supporting their recovery.,small,business,.58363891
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The higher cost of even basic necessities is making it harder to make ends meet.,it,hard,.42264402
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"With the state and the nation experiencing a rise in violent crime, addressing public safety requires major investments.",state,experience,.51420087
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"In years past, higher education had become an afterthought in our state budgets.",past,year,.52166069
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The pandemic recession has taken an enormous financial toll on workers and businesses.,financial,toll,.58510244
IL2022.txt,Illinois,Pritzker_J.B.,57,0,So let's talk about good governance and what fiscal responsibility looks like.,fiscal,responsibility,.25971237
IL2022.txt,Illinois,Pritzker_J.B.,57,0,The higher cost of even basic necessities is making it harder to make ends meet.,end,meet,.66172177
IL2022.txt,Illinois,Pritzker_J.B.,57,0,So my budget proposes to pay off that unfunded state liability in full.,pay,liability,.3421497
IL2022.txt,Illinois,Pritzker_J.B.,57,0,I'm proud to say this proposed fiscal year 2023 budget plan does just that.,do,that,.47875604
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"In Illinois, we believe that the best thing we can do in difficult times is look out for one another.",difficult,time,.51549447
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Right now the average state can run for 29 days on its Rainy Day Fund.,state,run,.55437535
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Great news for pensioners and taxpayers alike.,great,news,.50049508
IL2022.txt,Illinois,Pritzker_J.B.,57,0,Aggressively protecting and supporting vulnerable children and families is a high priority for us all.,vulnerable,child,.22749224
IL2022.txt,Illinois,Pritzker_J.B.,57,0,"Nearly a decade ago, Speaker Welch and Senator Van Pelt led the creation of the Gang Crime Witness Protection Program.",lead,creation,.70885926
